obs_75,obs_125,obs_175,obs_225,obs_275
3.7955257900493637,4.596250798303128,4.572694481243543,0.8509127861342264,3.2113349355232987
1.991276957741387,3.9413700694679332,6.768728448764031,0.8579729309365031,3.9147468670308654
4.862111202664937,4.000763314468931,3.3932862903240113,3.151876736726958,1.3567890806971976
2.8450251279334826,4.995160781832262,2.6425984347430966,1.2062555526664012,15.416089477633413
4.1910300196718255,5.523764866087006,7.038286589072926,1.549497037290016,2.905721863104623
3.995845760567632,4.121142799457029,2.6226284694999507,0.9738213758901375,2.999182285992495
2.8034092497455014,6.658356892444092,8.525323608372789,2.819453075640608,3.285604198720862
4.38621222811057,5.745524494819181,3.137102276192307,1.2449368443585243,4.338818830807382
3.8891811018324822,4.35147233421572,2.313255708533274,1.4307409126699842,1.0314312224063793
1.2772903419434145,3.591380544799448,4.129532955522427,1.9309261547046488,5.458803058415562
3.233709366225033,3.5734047043663413,2.832814192598651,5.05272458470138,5.770850750115103
6.636225401911052,4.143666187664297,3.3197180584962385,3.249569584111622,2.9668646651179817
2.7211953655071035,4.8821384384437945,4.513340281374497,5.7463117351978745,5.3411175043495644
4.4879673208954785,3.0900647903586913,6.312760907429335,8.437695544341702,2.1697254593439235
5.357958398383194,2.8683487330367425,3.79474393179135,0.719911162110579,4.061259840743671
2.9916316501542783,2.899543504944873,4.034016174586253,3.472704403291771,2.138911805251869
3.464730245100744,4.984296488630441,6.783763482703606,7.919468384990242,6.878208474934196
6.597590604062293,3.7432240834352073,3.64044134782418,1.2319448625199738,4.127426541169473
3.993285172426629,2.845390314547286,4.13393533723038,0.8283173397080927,2.481331216027459
4.40662997524219,4.027985044687506,5.150599635304629,2.4787850811254875,2.6135847429791035
3.816523111889097,4.209821012947573,3.0607229701358722,2.9683186379484647,4.187350248276936
3.7037884918216815,2.7447246649065553,3.9746983670112828,5.200811981052501,5.600936935107517
3.3409478512915296,3.1117901832441945,0.8832177599467402,8.963449593414541,3.086443029452164
5.127688818075864,3.073103512944973,3.3564341768216077,2.312957963337387,6.467087719712906
3.784632244432495,5.344459648916226,4.017191103901476,4.101170264443491,7.811885810820848
5.352617758988336,3.351055180230247,3.926165062146758,4.351440673384493,1.1617111485528033
6.115047639205186,3.354910754579903,3.3546940323043106,1.0575330449070506,3.511318434562966
5.187950704915187,0.7160927154244322,2.8767768910045364,2.7211840203106137,2.8466649953166794
3.6987473736784513,2.8704800728895368,3.7646645188141887,7.748176399772395,2.803014594397893
2.7783270081289255,2.060045229117774,1.3934814436313854,3.7204871869284695,1.3426024814433477
4.734644069627379,4.964516814082981,3.191945300426914,1.3795162574057214,4.022840929960992
3.6440425639444127,1.4606079765542785,6.514286378086135,2.357984493667528,5.228893513347065
2.9798955500332296,1.9930339584342813,4.3354119020659505,1.100317186341223,1.0001754473898994
3.5570752974343733,1.8986358495302855,2.940402777219047,2.882804069829275,1.228533926203045
1.776896689343811,5.287594605803809,3.8515323845735536,5.6296909530639105,4.31304121090203
3.8474352939897978,3.3487255712459545,3.5390960256315003,10.452825653384087,4.275619854328234
2.423511134385185,6.042891926894912,2.909641291580468,2.1391515462869317,5.149370994651468
3.786032608706517,1.6360250294685013,5.609861263446977,5.911442051731983,8.422081862933394
7.79135421342263,3.7548222861694005,0.8037298484278701,1.65183356459934,3.769788896411997
3.8223128390876435,3.4138209593869555,5.912457208481313,0.6375805462724299,2.9686575786142044
4.960367357594406,4.637323003657813,2.8165969484828506,6.002290357709033,3.0219906243137746
2.8415077940641975,3.1130686816526563,5.31950571364191,6.158322062125361,10.991609196282987
3.192148686670934,3.545382043133175,3.194728807203187,2.101937070098827,0.7888441221829854
9.24731792030426,3.442392256456688,4.262158637123744,6.109525237109607,3.4472793258840344
5.221750658360677,3.8870701443122124,0.8806365381719249,2.276554153087202,3.7401168430352048
4.944904572446481,3.3273035127007433,4.08027904259073,3.4685266182287555,1.6126699136723033
4.677343427640996,4.242367155550999,6.5113236140175195,4.104679617122491,1.4259752816100013
3.689037420678036,4.042342005190584,2.9143324369798593,4.941786863927408,1.0332270739694527
4.480258795297042,4.742794542403781,0.7642636289296645,1.2690545371370061,5.914993196192387
3.6093261632888662,4.650009396419068,2.7503574256620107,3.266286684685044,5.148313158578852
4.745107247815789,5.778406935458411,2.6906544022852796,6.136608763274271,3.822998929378975
5.303567869287102,3.8581507560937793,6.510848466875371,0.706673785345163,2.016625408861674
2.407815282781181,4.010611253243691,4.787655861629014,3.2246426627883342,6.757400037754991
2.4727078576532646,2.3493234569679453,4.082788216652507,4.263856065589861,0.7099942635493233
5.291203347577818,4.9480264101948315,6.355538820030652,13.761640117953117,2.74485399243641
3.423618246781165,4.692135006333362,0.7114847935415072,1.4346975915576663,2.775048374146991
2.6398102968200376,2.670210100491083,8.139561814270266,2.7210725775157893,2.397010298488316
2.867401231492681,3.1292682602333355,3.0060958400403726,7.307009047010399,2.5682214992143275
4.152924620279716,5.96538781427627,8.681978966576073,6.623486604753042,1.3674665134142647
4.305849273739479,3.5669507661641666,5.007123593302444,1.7001317743280953,5.345187589978522
2.9465675268132854,6.95499770097066,3.6146775581839536,0.7685478227405962,4.571133844509753
8.806858556456003,3.193374549928537,0.8940536516478296,0.6741441361002585,9.648773678851787
4.798521605337509,3.1960017659165945,2.605774786861181,4.9389678940708635,2.425444034575931
3.8211392033335994,5.43264303822318,5.203598194014644,2.2472628200749423,2.6727888867278162
3.831993936457281,3.620125886700645,0.9900324032458858,2.5955685574261786,4.1633040627769615
4.9588676266259,3.3778983429883405,5.166299319278624,0.9341331438995316,2.3406134224357906
2.7938121073098015,3.838946873584159,4.527125516929879,4.33098977358968,7.549309510400301
3.2358573942228492,2.70028815897656,3.4728444810162995,2.962251501047403,1.8626028081199466
3.43845815167092,3.839643024927949,3.83047791944867,3.5058432070575196,1.5243946573897498
3.71656490880014,2.6040485649231426,3.9085315611438607,3.3184808556551064,2.2871954654411435
5.2563659883476666,3.0299088301132087,2.0946978843738044,0.7391433607229702,2.1153521510449247
6.407384772589111,7.852769383685088,2.9183456313435725,1.1747685702354798,3.0451923532424563
2.5095092784354405,7.656008120110662,2.3453026950660165,3.0087719536920434,2.8141007195614973
3.4764344999065595,2.9996859729783423,4.383408893055693,1.9664297239773945,5.283459944187229
1.9085938132087072,3.9731060615323757,5.107722250317775,7.455063736040064,1.395209659443701
3.7855750585575265,6.295580568065952,1.339810961334951,3.997089645002614,6.647813205642655
